"date","username","product","sku","model","quantity","unit_type","applied_cost_per_quantity","gross_amount","discount_amount","net_amount","exceeds_quota","total_monthly_quota","organization","cost_center_name"
"2025-06-18","User58","copilot","copilot_premium_request","GPT-4.1","1","requests","0.04","0.04000000000000000","0","0.04000000000000000","False","300","",""
"2025-06-18","User205","copilot","copilot_premium_request","o1","10","requests","0.04","0.40000000000000002","0","0.40000000000000002","False","300","",""
"2025-06-18","User95","copilot","copilot_premium_request","Claude Sonnet 4","1","requests","0.04","0.04000000000000000","0","0.04000000000000000","False","300","",""
"2025-06-18","User58","copilot","copilot_premium_request","GPT-4.1","1","requests","0.04","0.04000000000000000","0","0.04000000000000000","False","300","",""
"2025-06-18","User58","copilot","copilot_premium_request","GPT-4.1","1","requests","0.04","0.04000000000000000","0","0.04000000000000000","False","300","",""
"2025-06-18","User58","copilot","copilot_premium_request","GPT-4.1","1","requests","0.04","0.04000000000000000","0","0.04000000000000000","False","300","",""
"2025-06-18","User77","copilot","copilot_premium_request","GPT-4.1","1","requests","0.04","0.04000000000000000","0","0.04000000000000000","False","300","",""
"2025-06-18","User95","copilot","copilot_premium_request","Claude Sonnet 4","1","requests","0.04","0.04000000000000000","0","0.04000000000000000","False","300","",""
"2025-06-18","User89","copilot","copilot_premium_request","Claude Sonnet 3.7","1","requests","0.04","0.04000000000000000","0","0.04000000000000000","False","300","",""
"2025-06-18","User108","copilot","copilot_premium_request","Code Review model","1","requests","0.04","0.04000000000000000","0","0.04000000000000000","False","300","",""
"2025-06-18","User131","copilot","copilot_premium_request","GPT-4.1","1","requests","0.04","0.04000000000000000","0","0.04000000000000000","False","300","",""
"2025-06-18","User89","copilot","copilot_premium_request","Claude Sonnet 3.7","1","requests","0.04","0.04000000000000000","0","0.04000000000000000","False","300","",""
"2025-06-18","User89","copilot","copilot_premium_request","Claude Sonnet 3.7","1","requests","0.04","0.04000000000000000","0","0.04000000000000000","False","300","",""
"2025-06-18","User131","copilot","copilot_premium_request","GPT-4.1","1","requests","0.04","0.04000000000000000","0","0.04000000000000000","False","300","",""
"2025-06-18","User173","copilot","copilot_premium_request","GPT-4.1","1","requests","0.04","0.04000000000000000","0","0.04000000000000000","False","300","",""
"2025-06-18","User131","copilot","copilot_premium_request","GPT-4.1","1","requests","0.04","0.04000000000000000","0","0.04000000000000000","False","300","",""
